AeroDyn airfoil file Created with QBlade v0.963 64bit on 01.11.2016 at 10:48:14 Compatible with AeroDyn v13.0.
Polar "T1_Re0.160_M0.00_N4.0 360 M" on Foil "T1_Re0.160_M0.00_N4.0" :: generated by QBlade
modified the QBlade format to be compatible with openFAST v7
1              Number of airfoil tables in this file
0.160          Table ID parameter
0.0            Control setting
13.00          Stall angle (deg)
-4.11          Angle of attack for zero Cn for linear Cn curve (deg)
6.27188        Cn slope for zero lift for linear Cn curve (1/rad)
1.1471         Cn at stall value for positive angle of attack for linear Cn curve
-0.6291        Cn at stall value for negative angle of attack for linear Cn curve
1.00           Angle of attack for minimum CD (deg)
0.0126         Minimum CD value
   -180.00   -0.1209    0.0060
   -179.00   -0.0348    0.0065
   -178.00    0.0461    0.0081
   -177.00    0.1147    0.0106
   -176.00    0.1645    0.0142
   -175.00    0.1946    0.0188
   -174.00    0.2106    0.0244
   -173.00    0.2198    0.0310
   -172.00    0.2275    0.0386
   -171.00    0.2363    0.0471
   -170.00    0.2471    0.0567
   -169.00    0.2598    0.0671
   -168.00    0.2740    0.0785
   -167.00    0.2892    0.0909
   -166.00    0.3049    0.1041
   -165.00    0.3209    0.1182
   -164.00    0.3368    0.1332
   -163.00    0.3524    0.1490
   -162.00    0.3676    0.1657
   -161.00    0.3823    0.1832
   -160.00    0.3962    0.2014
   -159.00    0.4094    0.2204
   -158.00    0.4218    0.2401
   -157.00    0.4333    0.2606
   -156.00    0.4439    0.2817
   -155.00    0.4536    0.3035
   -154.00    0.4624    0.3259
   -153.00    0.4703    0.3489
   -152.00    0.4772    0.3725
   -151.00    0.4831    0.3967
   -150.00    0.4882    0.4213
   -149.00    0.4923    0.4464
   -148.00    0.4955    0.4720
   -147.00    0.4979    0.4980
   -146.00    0.4993    0.5244
   -145.00    0.4999    0.5511
   -144.00    0.4996    0.5782
   -143.00    0.4986    0.6055
   -142.00    0.4967    0.6331
   -141.00    0.4941    0.6609
   -140.00    0.4908    0.6889
   -139.00    0.4868    0.7171
   -138.00    0.4820    0.7453
   -137.00    0.4767    0.7737
   -136.00    0.4707    0.8021
   -135.00    0.4641    0.8305
   -134.00    0.4570    0.8589
   -133.00    0.4493    0.8873
   -132.00    0.4412    0.9156
   -131.00    0.4326    0.9437
   -130.00    0.4235    0.9717
   -129.00    0.4141    0.9995
   -128.00    0.4042    1.0271
   -127.00    0.3940    1.0544
   -126.00    0.3835    1.0814
   -125.00    0.3728    1.1081
   -124.00    0.3617    1.1345
   -123.00    0.3504    1.1605
   -122.00    0.3389    1.1860
   -121.00    0.3272    1.2112
   -120.00    0.3153    1.2358
   -119.00    0.3033    1.2599
   -118.00    0.2911    1.2836
   -117.00    0.2789    1.3066
   -116.00    0.2665    1.3291
   -115.00    0.2541    1.3509
   -114.00    0.2417    1.3721
   -113.00    0.2292    1.3927
   -112.00    0.2167    1.4125
   -111.00    0.2019    1.4317
   -110.00    0.1894    1.4501
   -109.00    0.1769    1.4677
   -108.00    0.1643    1.4846
   -107.00    0.1518    1.5007
   -106.00    0.1394    1.5159
   -105.00    0.1270    1.5304
   -104.00    0.1146    1.5439
   -103.00    0.1023    1.5566
   -102.00    0.0900    1.5685
   -101.00    0.0778    1.5794
   -100.00    0.0657    1.5894
    -99.00    0.0536    1.5985
    -98.00    0.0416    1.6067
    -97.00    0.0297    1.6139
    -96.00    0.0178    1.6202
    -95.00    0.0060    1.6255
    -94.00   -0.0058    1.6299
    -93.00   -0.0175    1.6333
    -92.00   -0.0291    1.6357
    -91.00   -0.0407    1.6371
    -90.00   -0.0522    1.6376
    -89.00   -0.0637    1.6371
    -88.00   -0.0751    1.6356
    -87.00   -0.0864    1.6331
    -86.00   -0.0977    1.6297
    -85.00   -0.1090    1.6253
    -84.00   -0.1202    1.6200
    -83.00   -0.1313    1.6136
    -82.00   -0.1424    1.6064
    -81.00   -0.1535    1.5982
    -80.00   -0.1645    1.5890
    -79.00   -0.1755    1.5789
    -78.00   -0.1864    1.5680
    -77.00   -0.1972    1.5561
    -76.00   -0.2080    1.5433
    -75.00   -0.2187    1.5297
    -74.00   -0.2294    1.5153
    -73.00   -0.2400    1.4999
    -72.00   -0.2505    1.4838
    -71.00   -0.2610    1.4669
    -70.00   -0.2713    1.4492
    -69.00   -0.2816    1.4307
    -68.00   -0.2917    1.4115
    -67.00   -0.3018    1.3916
    -66.00   -0.3117    1.3710
    -65.00   -0.3215    1.3498
    -64.00   -0.3311    1.3279
    -63.00   -0.3406    1.3053
    -62.00   -0.3499    1.2822
    -61.00   -0.3590    1.2585
    -60.00   -0.3679    1.2343
    -59.00   -0.3766    1.2096
