AeroDyn airfoil file Created with QBlade v0.963 64bit on 01.11.2016 at 10:48:14 Compatible with AeroDyn v13.0.
Polar "T1_Re0.140_M0.00_N4.0 360 M" on Foil "T1_Re0.140_M0.00_N4.0" :: generated by QBlade
modified the QBlade format to be compatible with openFAST v7
1              Number of airfoil tables in this file
0.140          Table ID parameter
0.0            Control setting
12.50          Stall angle (deg)
-4.06          Angle of attack for zero Cn for linear Cn curve (deg)
6.30053        Cn slope for zero lift for linear Cn curve (1/rad)
1.1834         Cn at stall value for positive angle of attack for linear Cn curve
-0.5893        Cn at stall value for negative angle of attack for linear Cn curve
1.00           Angle of attack for minimum CD (deg)
0.0133         Minimum CD value
   -180.00   -0.1194    0.0060
   -179.00   -0.0322    0.0065
   -178.00    0.0506    0.0081
   -177.00    0.1218    0.0106
   -176.00    0.1740    0.0142
   -175.00    0.2054    0.0188
   -174.00    0.2211    0.0244
   -173.00    0.2290    0.0310
   -172.00    0.2351    0.0386
   -171.00    0.2425    0.0471
   -170.00    0.2521    0.0567
   -169.00    0.2639    0.0671
   -168.00    0.2775    0.0785
   -167.00    0.2922    0.0909
   -166.00    0.3076    0.1041
   -165.00    0.3234    0.1182
   -164.00    0.3392    0.1332
   -163.00    0.3548    0.1490
   -162.00    0.3699    0.1657
   -161.00    0.3845    0.1832
   -160.00    0.3985    0.2014
   -159.00    0.4117    0.2204
   -158.00    0.4241    0.2401
   -157.00    0.4357    0.2606
   -156.00    0.4464    0.2817
   -155.00    0.4562    0.3035
   -154.00    0.4651    0.3259
   -153.00    0.4730    0.3489
   -152.00    0.4800    0.3725
   -151.00    0.4861    0.3967
   -150.00    0.4913    0.4213
   -149.00    0.4955    0.4464
   -148.00    0.4988    0.4720
   -147.00    0.5012    0.4980
   -146.00    0.5027    0.5244
   -145.00    0.5034    0.5511
   -144.00    0.5033    0.5782
   -143.00    0.5023    0.6055
   -142.00    0.5006    0.6331
   -141.00    0.4980    0.6609
   -140.00    0.4948    0.6889
   -139.00    0.4908    0.7171
   -138.00    0.4862    0.7453
   -137.00    0.4809    0.7737
   -136.00    0.4749    0.8021
   -135.00    0.4684    0.8305
   -134.00    0.4613    0.8589
   -133.00    0.4537    0.8873
   -132.00    0.4456    0.9156
   -131.00    0.4370    0.9437
   -130.00    0.4280    0.9717
   -129.00    0.4185    0.9995
   -128.00    0.4087    1.0271
   -127.00    0.3985    1.0544
   -126.00    0.3880    1.0814
   -125.00    0.3772    1.1081
   -124.00    0.3661    1.1345
   -123.00    0.3548    1.1605
   -122.00    0.3432    1.1860
   -121.00    0.3314    1.2112
   -120.00    0.3195    1.2358
   -119.00    0.3074    1.2599
   -118.00    0.2952    1.2836
   -117.00    0.2828    1.3066
   -116.00    0.2704    1.3291
   -115.00    0.2578    1.3509
   -114.00    0.2453    1.3721
   -113.00    0.2326    1.3927
   -112.00    0.2200    1.4125
   -111.00    0.2051    1.4317
   -110.00    0.1924    1.4501
   -109.00    0.1797    1.4677
   -108.00    0.1671    1.4846
   -107.00    0.1544    1.5007
   -106.00    0.1418    1.5159
   -105.00    0.1292    1.5304
   -104.00    0.1166    1.5439
   -103.00    0.1041    1.5566
   -102.00    0.0916    1.5685
   -101.00    0.0792    1.5794
   -100.00    0.0669    1.5894
    -99.00    0.0546    1.5985
    -98.00    0.0424    1.6067
    -97.00    0.0302    1.6139
    -96.00    0.0181    1.6202
    -95.00    0.0061    1.6255
    -94.00   -0.0059    1.6299
    -93.00   -0.0178    1.6333
    -92.00   -0.0296    1.6357
    -91.00   -0.0414    1.6371
    -90.00   -0.0532    1.6376
    -89.00   -0.0648    1.6371
    -88.00   -0.0764    1.6356
    -87.00   -0.0880    1.6332
    -86.00   -0.0995    1.6297
    -85.00   -0.1110    1.6253
    -84.00   -0.1224    1.6200
    -83.00   -0.1337    1.6136
    -82.00   -0.1450    1.6064
    -81.00   -0.1562    1.5982
    -80.00   -0.1674    1.5890
    -79.00   -0.1786    1.5790
    -78.00   -0.1896    1.5680
    -77.00   -0.2006    1.5561
    -76.00   -0.2116    1.5434
    -75.00   -0.2225    1.5297
    -74.00   -0.2333    1.5153
    -73.00   -0.2440    1.5000
    -72.00   -0.2546    1.4838
    -71.00   -0.2652    1.4669
    -70.00   -0.2757    1.4492
    -69.00   -0.2860    1.4308
    -68.00   -0.2962    1.4116
    -67.00   -0.3064    1.3917
    -66.00   -0.3163    1.3711
    -65.00   -0.3262    1.3498
    -64.00   -0.3359    1.3279
    -63.00   -0.3454    1.3054
    -62.00   -0.3547    1.2822
    -61.00   -0.3638    1.2586
    -60.00   -0.3728    1.2343
    -59.00   -0.3815    1.2096
    -58.00   -0.3899    1.1844
    -57.00   -0.3981    1.1588
    -56.00   -0.4061    1.1327
    -55.00   -0.4137    1.1063
    -54.00   -0.4211    1.0795
    -53.00   -0.4281    1.0524
    -52.00   -0.4348    1.0249
    -51.00   -0.4411    0.9973
    -50.00   -0.4471    0.9694
    -49.00   -0.4527    0.9413
    -48.00   -0.4578    0.9130
    -47.00   -0.4626    0.8846
    -46.00   -0.4669    0.8562
    -45.00   -0.4708    0.8276
    -44.00   -0.4742    0.7991
    -43.00   -0.4771    0.7705
    -42.00   -0.4795    0.7420
    -41.00   -0.4814    0.7136
    -40.00   -0.4827    0.6852
    -39.00   -0.4836    0.6571
    -38.00   -0.4839    0.6291
    -37.00   -0.4836    0.6013
    -36.00   -0.4828    0.5737
    -35.00   -0.4814    0.5465
    -34.00   -0.4794    0.5195
    -33.00   -0.4769    0.4929
    -32.00   -0.4738    0.4666
    -31.00   -0.4702    0.4408
    -30.00   -0.4660    0.4154
    -29.00   -0.4613    0.3904
    -28.00   -0.4560    0.3660
    -27.00   -0.4503    0.3420
    -26.00   -0.4441    0.3187
    -25.00   -0.4374    0.2959
    -24.00   -0.4302    0.2737
    -23.00   -0.4227    0.2521
    -22.00   -0.4149    0.2312
    -21.00   -0.4067    0.2111
    -20.00   -0.3983    0.1916
    -19.00   -0.3896    0.1729
    -18.00   -0.3808    0.1549
    -17.00   -0.3717    0.1378
    -16.00   -0.3624    0.1215
    -15.00   -0.3528    0.1061
    -14.00   -0.3428    0.0916
    -13.00   -0.3319    0.0781
    -12.00   -0.3196    0.0657
    -11.00   -0.3053    0.0544
    -10.00   -0.6405    0.0312
     -9.50   -0.5927    0.0286
     -9.00   -0.5415    0.0268
     -8.50   -0.4887    0.0251
     -8.00   -0.4337    0.0235
     -7.50   -0.3778    0.0221
     -7.00   -0.3237    0.0210
     -6.50   -0.2701    0.0199
     -6.00   -0.2158    0.0190
     -5.50   -0.1610    0.0182
     -5.00   -0.1055    0.0174
     -4.50   -0.0494    0.0168
     -4.00    0.0065    0.0162
     -3.50    0.0609    0.0158
     -3.00    0.1162    0.0153
     -2.50    0.1708    0.0150
     -2.00    0.2249    0.0147
     -1.50    0.2788    0.0145
     -1.00    0.3320    0.0143
     -0.50    0.3844    0.0140
      0.00    0.4342    0.0136
      0.50    0.4824    0.0134
      1.00    0.5363    0.0133
      1.50    0.6165    0.0135
      2.00    0.6761    0.0138
      2.50    0.7238    0.0141
      3.00    0.7723    0.0145
      3.50    0.8212    0.0149
      4.00    0.8701    0.0153
      4.50    0.9189    0.0158
      5.00    0.9672    0.0163
      5.50    1.0148    0.0168
      6.00    1.0615    0.0174
      6.50    1.1067    0.0180
      7.00    1.1501    0.0186
      7.50    1.1910    0.0192
      8.00    1.2285    0.0199
      8.50    1.2605    0.0208
      9.00    1.2882    0.0218
      9.50    1.3130    0.0230
     10.00    1.3346    0.0246
     10.50    1.3525    0.0265
     11.00    1.3662    0.0289
     11.50    1.3756    0.0318
     12.00    1.3813    0.0353
     12.50    1.3839    0.0394
     13.00    1.3838    0.0440
     13.50    1.3807    0.0494
     14.00    1.3779    0.0551
     14.50    1.3731    0.0613
     15.00    1.3669    0.0681
     15.50    1.3601    0.0751
     16.00    1.3530    0.0824
     16.50    1.3454    0.0900
     17.00    1.3373    0.0978
     17.50    1.3306    0.1056
     18.00    1.3257    0.1132
     18.50    1.3200    0.1211
     19.00    1.3169    0.1287
     19.50    1.3146    0.1362
     20.00    1.3125    0.1439
     20.50    1.3117    0.1513
     21.00    1.3109    0.1589
     21.50    1.3093    0.1669
     22.00    1.3087    0.1746
     22.50    1.3046    0.1834
     23.00    1.2987    0.1927
     23.50    1.2921    0.2024
     24.00    1.2496    0.2230
     25.00    1.1951    0.2704
     26.00    1.1931    0.2960
     27.00    1.1934    0.3222
     28.00    1.1957    0.3489
     29.00    1.1996    0.3762
     30.00    1.2050    0.4039
     31.00    1.2115    0.4321
     32.00    1.2189    0.4607
     33.00    1.2269    0.4897
     34.00    1.2353    0.5191
     35.00    1.2439    0.5488
     36.00    1.2527    0.5788
     37.00    1.2613    0.6091
     38.00    1.2697    0.6396
     39.00    1.2777    0.6703
     40.00    1.2853    0.7012
     41.00    1.2923    0.7322
     42.00    1.2986    0.7634
     43.00    1.3042    0.7947
     44.00    1.3089    0.8259
     45.00    1.3128    0.8573
     46.00    1.3156    0.8885
     47.00    1.3175    0.9198
     48.00    1.3182    0.9509
     49.00    1.3179    0.9819
     50.00    1.3164    1.0127
     51.00    1.3137    1.0434
     52.00    1.3097    1.0738
     53.00    1.3045    1.1039
     54.00    1.2980    1.1338
     55.00    1.2902    1.1633
     56.00    1.2810    1.1924
     57.00    1.2705    1.2211
     58.00    1.2586    1.2494
     59.00    1.2454    1.2772
     60.00    1.2308    1.3045
     61.00    1.2149    1.3312
     62.00    1.1975    1.3574
     63.00    1.1788    1.3829
     64.00    1.1587    1.4079
     65.00    1.1373    1.4321
     66.00    1.1145    1.4557
     67.00    1.0904    1.4785
     68.00    1.0650    1.5006
     69.00    1.0383    1.5219
     70.00    1.0103    1.5424
     71.00    0.9811    1.5621
     72.00    0.9506    1.5809
     73.00    0.9190    1.5989
     74.00    0.8862    1.6159
     75.00    0.8522    1.6320
     76.00    0.8172    1.6472
     77.00    0.7812    1.6614
     78.00    0.7441    1.6747
     79.00    0.7061    1.6869
     80.00    0.6671    1.6982
     81.00    0.6272    1.7084
     82.00    0.5866    1.7176
     83.00    0.5451    1.7257
     84.00    0.5030    1.7328
     85.00    0.4601    1.7389
     86.00    0.4167    1.7438
     87.00    0.3727    1.7477
     88.00    0.3281    1.7505
     89.00    0.2832    1.7522
     90.00    0.2378    1.7529
     91.00    0.1922    1.7524
     92.00    0.1462    1.7509
     93.00    0.1001    1.7482
     94.00    0.0539    1.7445
     95.00    0.0075    1.7397
     96.00   -0.0388    1.7339
     97.00   -0.0851    1.7270
     98.00   -0.1312    1.7190
     99.00   -0.1771    1.7100
    100.00   -0.2228    1.7000
    101.00   -0.2682    1.6889
    102.00   -0.3131    1.6769
    103.00   -0.3576    1.6638
    104.00   -0.4016    1.6498
    105.00   -0.4450    1.6348
    106.00   -0.4878    1.6189
    107.00   -0.5298    1.6021
    108.00   -0.5790    1.5844
    109.00   -0.6192    1.5658
    110.00   -0.6586    1.5464
    111.00   -0.6970    1.5261
    112.00   -0.7345    1.5051
    113.00   -0.7708    1.4832
    114.00   -0.8060    1.4607
    115.00   -0.8401    1.4374
    116.00   -0.8730    1.4134
    117.00   -0.9045    1.3888
    118.00   -0.9348    1.3635
    119.00   -0.9637    1.3377
    120.00   -0.9912    1.3113
    121.00   -1.0173    1.2844
    122.00   -1.0419    1.2569
    123.00   -1.0650    1.2291
    124.00   -1.0865    1.2008
    125.00   -1.1065    1.1721
    126.00   -1.1249    1.1430
    127.00   -1.1416    1.1136
    128.00   -1.1567    1.0840
    129.00   -1.1702    1.0541
    130.00   -1.1820    1.0240
    131.00   -1.1921    0.9937
    132.00   -1.2005    0.9633
    133.00   -1.2072    0.9328
    134.00   -1.2122    0.9023
    135.00   -1.2155    0.8717
    136.00   -1.2172    0.8411
    137.00   -1.2171    0.8106
    138.00   -1.2154    0.7802
    139.00   -1.2120    0.7499
    140.00   -1.2070    0.7198
    141.00   -1.2003    0.6899
    142.00   -1.1921    0.6603
    143.00   -1.1823    0.6309
    144.00   -1.1710    0.6018
    145.00   -1.1582    0.5731
    146.00   -1.1439    0.5447
    147.00   -1.1282    0.5168
    148.00   -1.1112    0.4893
    149.00   -1.0929    0.4623
    150.00   -1.0732    0.4359
    151.00   -1.0524    0.4099
    152.00   -1.0305    0.3846
    153.00   -1.0076    0.3598
    154.00   -0.9836    0.3357
    155.00   -0.9588    0.3123
    156.00   -0.9333    0.2896
    157.00   -0.9071    0.2675
    158.00   -0.8804    0.2463
    159.00   -0.8534    0.2258
    160.00   -0.8263    0.2061
    161.00   -0.7994    0.1872
    162.00   -0.7730    0.1691
    163.00   -0.7475    0.1520
    164.00   -0.7237    0.1356
    165.00   -0.7021    0.1202
    166.00   -0.6840    0.1058
    167.00   -0.6705    0.0922
    168.00   -0.6630    0.0796
    169.00   -0.6626    0.0679
    170.00   -0.6689    0.0573
    171.00   -0.6778    0.0476
    172.00   -0.6800    0.0389
    173.00   -0.6630    0.0312
    174.00   -0.6192    0.0245
    175.00   -0.5518    0.0189
    176.00   -0.4702    0.0142
    177.00   -0.3833    0.0106
    178.00   -0.2954    0.0081
    179.00   -0.2074    0.0065
    180.00   -0.1194    0.0060
    180.00   -0.1194    0.0060
