AoA,        Cd,         Reynolds   
    -180.00,     0.0060,    42000.0
    -150.00,     0.4213,    42000.0
    -120.00,     1.2358,    42000.0
     -90.00,     1.6376,    42000.0
     -60.00,     1.2344,    42000.0
     -30.00,     0.4159,    42000.0
     -10.00,     0.1045,    42000.0
      -9.50,     0.0967,    42000.0
      -9.00,     0.0876,    42000.0
      -8.50,     0.0767,    42000.0
      -8.00,     0.0669,    42000.0
      -7.50,     0.0538,    42000.0
      -7.00,     0.0486,    42000.0
      -6.50,     0.0439,    42000.0
      -6.00,     0.0405,    42000.0
      -5.50,     0.0378,    42000.0
      -5.00,     0.0357,    42000.0
      -4.50,     0.0342,    42000.0
      -4.00,     0.0328,    42000.0
      -3.50,     0.0317,    42000.0
      -3.00,     0.0308,    42000.0
      -2.50,     0.0300,    42000.0
      -2.00,     0.0292,    42000.0
      -1.50,     0.0283,    42000.0
      -1.00,     0.0277,    42000.0
      -0.50,     0.0270,    42000.0
       0.00,     0.0267,    42000.0
       0.50,     0.0269,    42000.0
       1.00,     0.0272,    42000.0
       1.50,     0.0279,    42000.0
       2.00,     0.0286,    42000.0
       2.50,     0.0293,    42000.0
       3.00,     0.0300,    42000.0
       3.50,     0.0308,    42000.0
       4.00,     0.0317,    42000.0
       4.50,     0.0327,    42000.0
       5.00,     0.0338,    42000.0
       5.50,     0.0350,    42000.0
       6.00,     0.0363,    42000.0
       6.50,     0.0384,    42000.0
       7.00,     0.0404,    42000.0
       7.50,     0.0425,    42000.0
       8.00,     0.0445,    42000.0
       8.50,     0.0464,    42000.0
       9.00,     0.0503,    42000.0
       9.50,     0.0541,    42000.0
      10.00,     0.0560,    42000.0
      10.50,     0.0627,    42000.0
      11.50,     0.0711,    42000.0
      12.00,     0.0774,    42000.0
      12.50,     0.0787,    42000.0
      13.00,     0.0860,    42000.0
      13.50,     0.0924,    42000.0
      14.00,     0.0942,    42000.0
      14.50,     0.1029,    42000.0
      15.00,     0.1079,    42000.0
      15.50,     0.1159,    42000.0
      16.00,     0.1198,    42000.0
      16.50,     0.1319,    42000.0
      17.00,     0.1433,    42000.0
      17.50,     0.1543,    42000.0
      18.00,     0.1659,    42000.0
      18.50,     0.1780,    42000.0
      19.00,     0.1899,    42000.0
      19.50,     0.2005,    42000.0
      20.00,     0.2085,    42000.0
      20.50,     0.2176,    42000.0
      21.00,     0.2279,    42000.0
      21.50,     0.2336,    42000.0
      22.00,     0.2443,    42000.0
      22.50,     0.2501,    42000.0
      23.00,     0.2595,    42000.0
      23.50,     0.2663,    42000.0
      24.00,     0.2732,    42000.0
      24.50,     0.2807,    42000.0
      25.00,     0.2873,    42000.0
      26.00,     0.2909,    42000.0
      27.00,     0.3137,    42000.0
      28.00,     0.3373,    42000.0
      29.00,     0.3616,    42000.0
      30.00,     0.3865,    42000.0
      60.00,     1.2645,    42000.0
      90.00,     1.7299,    42000.0
     120.00,     1.3031,    42000.0
     150.00,     0.4345,    42000.0
     180.00,     0.0060,    42000.0
    -180.00,     0.0060,    83000.0
    -150.00,     0.4213,    83000.0
    -120.00,     1.2358,    83000.0
     -90.00,     1.6376,    83000.0
     -60.00,     1.2344,    83000.0
     -30.00,     0.4157,    83000.0
     -10.00,     0.0515,    83000.0
      -9.50,     0.0458,    83000.0
      -9.00,     0.0395,    83000.0
      -8.50,     0.0356,    83000.0
      -8.00,     0.0331,    83000.0
      -7.50,     0.0308,    83000.0
      -7.00,     0.0288,    83000.0
      -6.50,     0.0271,    83000.0
      -6.00,     0.0256,    83000.0
      -5.50,     0.0243,    83000.0
      -5.00,     0.0232,    83000.0
      -4.50,     0.0222,    83000.0
      -4.00,     0.0214,    83000.0
      -3.50,     0.0206,    83000.0
      -3.00,     0.0200,    83000.0
      -2.50,     0.0195,    83000.0
      -2.00,     0.0190,    83000.0
