AoA,        Cl,         Reynolds   
    -180.00,    -0.0852,    42000.0
    -150.00,     0.5452,    42000.0
    -120.00,     0.3853,    42000.0
     -90.00,    -0.0691,    42000.0
     -60.00,    -0.4515,    42000.0
     -30.00,    -0.5157,    42000.0
     -10.00,    -0.3652,    42000.0
      -9.50,    -0.3962,    42000.0
      -9.00,    -0.4483,    42000.0
      -8.50,    -0.5213,    42000.0
      -8.00,    -0.5306,    42000.0
      -7.50,    -0.5220,    42000.0
      -7.00,    -0.4763,    42000.0
      -6.50,    -0.4256,    42000.0
      -6.00,    -0.3731,    42000.0
      -5.50,    -0.3158,    42000.0
      -5.00,    -0.2553,    42000.0
      -4.50,    -0.1931,    42000.0
      -4.00,    -0.1288,    42000.0
      -3.50,    -0.0696,    42000.0
      -3.00,    -0.0120,    42000.0
      -2.50,     0.0468,    42000.0
      -2.00,     0.1054,    42000.0
      -1.50,     0.1626,    42000.0
      -1.00,     0.2090,    42000.0
      -0.50,     0.2545,    42000.0
       0.00,     0.3486,    42000.0
       0.50,     0.4005,    42000.0
       1.00,     0.4538,    42000.0
       1.50,     0.4978,    42000.0
       2.00,     0.5456,    42000.0
       2.50,     0.5942,    42000.0
       3.00,     0.6427,    42000.0
       3.50,     0.6905,    42000.0
       4.00,     0.7372,    42000.0
       4.50,     0.7828,    42000.0
       5.00,     0.8271,    42000.0
       5.50,     0.8701,    42000.0
       6.00,     0.9093,    42000.0
       6.50,     0.9350,    42000.0
       7.00,     0.9605,    42000.0
       7.50,     0.9874,    42000.0
       8.00,     1.0156,    42000.0
       8.50,     1.0459,    42000.0
       9.00,     1.0501,    42000.0
       9.50,     1.0596,    42000.0
      10.00,     1.0875,    42000.0
      10.50,     1.0712,    42000.0
      11.50,     1.0889,    42000.0
      12.00,     1.0836,    42000.0
      12.50,     1.1126,    42000.0
      13.00,     1.1022,    42000.0
      13.50,     1.0997,    42000.0
      14.00,     1.1244,    42000.0
      14.50,     1.1105,    42000.0
      15.00,     1.1185,    42000.0
      15.50,     1.1118,    42000.0
      16.00,     1.1267,    42000.0
      16.50,     1.1040,    42000.0
      17.00,     1.0879,    42000.0
      17.50,     1.0765,    42000.0
      18.00,     1.0658,    42000.0
      18.50,     1.0564,    42000.0
      19.00,     1.0500,    42000.0
      19.50,     1.0493,    42000.0
      20.00,     1.0570,    42000.0
      20.50,     1.0624,    42000.0
      21.00,     1.0654,    42000.0
      21.50,     1.0807,    42000.0
      22.00,     1.0834,    42000.0
      22.50,     1.0988,    42000.0
      23.00,     1.1044,    42000.0
      23.50,     1.1168,    42000.0
      24.00,     1.1290,    42000.0
      24.50,     1.1391,    42000.0
      25.00,     1.1517,    42000.0
      26.00,     1.1758,    42000.0
      27.00,     1.1979,    42000.0
      28.00,     1.2192,    42000.0
      29.00,     1.2396,    42000.0
      30.00,     1.2591,    42000.0
      60.00,     1.3446,    42000.0
      90.00,     0.3568,    42000.0
     120.00,    -0.9402,    42000.0
     150.00,    -1.0110,    42000.0
     180.00,    -0.0852,    42000.0
    -180.00,    -0.1090,    83000.0
    -150.00,     0.5119,    83000.0
    -120.00,     0.3470,    83000.0
     -90.00,    -0.0596,    83000.0
     -60.00,    -0.4052,    83000.0
     -30.00,    -0.4845,    83000.0
     -10.00,    -0.6386,    83000.0
      -9.50,    -0.6125,    83000.0
      -9.00,    -0.5829,    83000.0
      -8.50,    -0.5381,    83000.0
      -8.00,    -0.4862,    83000.0
      -7.50,    -0.4321,    83000.0
      -7.00,    -0.3761,    83000.0
      -6.50,    -0.3197,    83000.0
      -6.00,    -0.2629,    83000.0
      -5.50,    -0.2060,    83000.0
      -5.00,    -0.1491,    83000.0
      -4.50,    -0.0922,    83000.0
      -4.00,    -0.0349,    83000.0
      -3.50,     0.0229,    83000.0
      -3.00,     0.0767,    83000.0
      -2.50,     0.1322,    83000.0
      -2.00,     0.1892,    83000.0
      -1.50,     0.2451,    83000.0
      -1.00,     0.2991,    83000.0
      -0.50,     0.3515,    83000.0
       0.00,     0.3993,    83000.0
       0.50,     0.4716,    83000.0
       1.00,     0.5517,    83000.0
       1.50,     0.6000,    83000.0
       2.00,     0.6479,    83000.0
       2.50,     0.6968,    83000.0
       3.00,     0.7460,    83000.0
       3.50,     0.7952,    83000.0
       4.00,     0.8441,    83000.0
       4.50,     0.8926,    83000.0
       5.00,     0.9404,    83000.0
       5.50,     0.9873,    83000.0
       6.00,     1.0330,    83000.0
       6.50,     1.0773,    83000.0
       7.00,     1.1198,    83000.0
       7.50,     1.1602,    83000.0
       8.00,     1.1982,    83000.0
       8.50,     1.2287,    83000.0
       9.00,     1.2535,    83000.0
       9.50,     1.2755,    83000.0
      10.50,     1.3076,    83000.0
      11.00,     1.3175,    83000.0
      11.50,     1.3230,    83000.0
      12.00,     1.3240,    83000.0
      12.50,     1.3205,    83000.0
      13.00,     1.3132,    83000.0
      13.50,     1.3032,    83000.0
      14.00,     1.2934,    83000.0
      14.50,     1.2824,    83000.0
      15.00,     1.2734,    83000.0
      15.50,     1.2646,    83000.0
      16.00,     1.2570,    83000.0
      16.50,     1.2509,    83000.0
      17.00,     1.2467,    83000.0
      17.50,     1.2439,    83000.0
      18.00,     1.2425,    83000.0
      18.50,     1.2427,    83000.0
      19.00,     1.2426,    83000.0
      19.50,     1.2406,    83000.0
      20.00,     1.2411,    83000.0
      20.50,     1.2352,    83000.0
      21.00,     1.2210,    83000.0
      21.50,     1.2115,    83000.0
      22.00,     1.1380,    83000.0
      22.50,     1.1328,    83000.0
      23.00,     1.1280,    83000.0
      23.50,     1.1333,    83000.0
      24.00,     1.1440,    83000.0
      24.50,     1.1514,    83000.0
      25.00,     1.1630,    83000.0
      26.00,     1.1034,    83000.0
      27.00,     1.1074,    83000.0
      28.00,     1.1132,    83000.0
      29.00,     1.1205,    83000.0
      30.00,     1.1290,    83000.0
      60.00,     1.1909,    83000.0
      90.00,     0.2272,    83000.0
     120.00,    -0.9689,    83000.0
     150.00,    -1.0492,    83000.0
     180.00,    -0.1090,    83000.0
    -180.00,    -0.1127,   100000.0
    -150.00,     0.5027,   100000.0
    -120.00,     0.3343,   100000.0
     -90.00,    -0.0567,   100000.0
     -60.00,    -0.3903,   100000.0
     -30.00,    -0.4764,   100000.0
     -10.00,    -0.6509,   100000.0
      -9.50,    -0.6180,   100000.0
      -9.00,    -0.5692,   100000.0
      -8.50,    -0.5188,   100000.0
      -8.00,    -0.4642,   100000.0
      -7.50,    -0.4072,   100000.0
      -7.00,    -0.3501,   100000.0
      -6.50,    -0.2946,   100000.0
      -6.00,    -0.2386,   100000.0
      -5.50,    -0.1851,   100000.0
      -5.00,    -0.1305,   100000.0
      -4.50,    -0.0750,   100000.0
      -4.00,    -0.0189,   100000.0
      -3.50,     0.0380,   100000.0
      -3.00,     0.0947,   100000.0
      -2.50,     0.1490,   100000.0
      -2.00,     0.2049,   100000.0
      -1.50,     0.2599,   100000.0
      -1.00,     0.3137,   100000.0
      -0.50,     0.3670,   100000.0
       0.00,     0.4153,   100000.0
       0.50,     0.4685,   100000.0
       1.00,     0.5544,   100000.0
       1.50,     0.6136,   100000.0
       2.00,     0.6612,   100000.0
       2.50,     0.7097,   100000.0
       3.00,     0.7587,   100000.0
       3.50,     0.8078,   100000.0
       4.00,     0.8567,   100000.0
       4.50,     0.9053,   100000.0
       5.00,     0.9533,   100000.0
       5.50,     1.0005,   100000.0
       6.00,     1.0467,   100000.0
       6.50,     1.0915,   100000.0
       7.00,     1.1344,   100000.0
       7.50,     1.1752,   100000.0
       8.00,     1.2132,   100000.0
       8.50,     1.2451,   100000.0
       9.00,     1.2715,   100000.0
       9.50,     1.2944,   100000.0
      10.00,     1.3142,   100000.0
      10.50,     1.3302,   100000.0
      11.00,     1.3419,   100000.0
      11.50,     1.3491,   100000.0
      12.00,     1.3518,   100000.0
      12.50,     1.3501,   100000.0
      13.00,     1.3447,   100000.0
      13.50,     1.3368,   100000.0
      14.00,     1.3284,   100000.0
      14.50,     1.3184,   100000.0
      15.00,     1.3076,   100000.0
      15.50,     1.2984,   100000.0
      16.00,     1.2898,   100000.0
      16.50,     1.2818,   100000.0
      17.00,     1.2761,   100000.0
      17.50,     1.2723,   100000.0
      18.00,     1.2695,   100000.0
      18.50,     1.2678,   100000.0
      19.00,     1.2673,   100000.0
      19.50,     1.2669,   100000.0
      20.00,     1.2678,   100000.0
      20.50,     1.2659,   100000.0
      21.00,     1.2635,   100000.0
      21.50,     1.2584,   100000.0
      22.00,     1.2426,   100000.0
      22.50,     1.2205,   100000.0
      24.00,     1.1505,   100000.0
      24.50,     1.1564,   100000.0
      25.00,     1.1677,   100000.0
      26.00,     1.1297,   100000.0
      27.00,     1.1326,   100000.0
      28.00,     1.1374,   100000.0
      29.00,     1.1438,   100000.0
      30.00,     1.1515,   100000.0
      60.00,     1.2069,   100000.0
      90.00,     0.2310,   100000.0
     120.00,    -0.9798,   100000.0
     150.00,    -1.0598,   100000.0
