rev/min     torque[N-m]
0          0.0
200.000    1.731
204.040    1.748
208.081    1.762
212.121    1.774
216.162    1.783
220.202    1.788
224.242    1.788
228.283    1.785
232.323    1.777
236.364    1.766
240.404    1.753
244.444    1.738
248.485    1.721
252.525    1.703
256.566    1.684
260.606    1.664
264.646    1.644
268.687    1.623
272.727    1.602
276.768    1.580
280.808    1.558
284.848    1.536
288.889    1.514
292.929    1.492
296.970    1.470
301.010    1.448
305.051    1.425
309.091    1.403
313.131    1.381
317.172    1.359
321.212    1.337
325.253    1.315
329.293    1.293
333.333    1.271
337.374    1.250
341.414    1.228
345.455    1.207
349.495    1.185
353.535    1.164
357.576    1.143
361.616    1.122
365.657    1.102
369.697    1.081
373.737    1.061
377.778    1.041
381.818    1.022
385.859    1.002
389.899    0.983
393.939    0.964
397.980    0.945
402.020    0.926
406.061    0.908
410.101    0.889
414.141    0.871
418.182    0.853
422.222    0.835
426.263    0.817
430.303    0.800
434.343    0.782
438.384    0.765
442.424    0.747
446.465    0.730
450.505    0.713
454.545    0.696
458.586    0.679
462.626    0.662
466.667    0.645
470.707    0.629
474.747    0.612
478.788    0.595
482.828    0.579
486.869    0.562
490.909    0.546
494.949    0.530
498.990    0.513
503.030    0.497
507.071    0.481
511.111    0.465
515.152    0.449
519.192    0.433
523.232    0.417
527.273    0.401
531.313    0.385
535.354    0.369
539.394    0.353
543.434    0.337
547.475    0.321
551.515    0.305
555.556    0.289
559.596    0.273
563.636    0.257
567.677    0.241
571.717    0.226
575.758    0.210
579.798    0.194
583.838    0.178
587.879    0.162
591.919    0.147
595.960    0.131
600.000    0.115
1000       0.0
