# WindSpeed_m/s,Power_Watts,ThrustCoeff_Ct,RotorSpeed_rev/min
0.100,0.018,0.687,29.709
0.253,0.296,0.687,75.054
0.405,1.326,0.698,120.399
0.558,3.824,0.719,165.745
0.711,8.298,0.729,211.090
0.863,15.312,0.735,256.435
1.016,25.452,0.738,301.780
1.168,39.294,0.740,347.126
1.321,57.405,0.741,392.471
1.474,80.417,0.742,437.816
1.626,109.028,0.741,483.161
1.779,143.927,0.740,528.507
1.932,185.732,0.740,573.852
2.084,234.954,0.741,619.197
2.237,291.934,0.742,664.542
2.389,356.733,0.743,709.887
2.542,429.646,0.744,755.233
2.695,511.299,0.745,800.578
2.847,602.482,0.745,845.923
3.000,704.219,0.745,891.268
