# r_R,chord,pre-twist,sweep
0.235,0.194,19.415,0.000
0.261,0.180,15.804,0.000
0.287,0.169,13.374,0.000
0.313,0.159,11.582,0.000
0.339,0.150,10.203,0.000
0.365,0.141,9.113,0.000
0.391,0.134,8.221,0.000
0.417,0.128,7.486,0.000
0.443,0.122,6.874,0.000
0.468,0.117,6.361,0.000
0.494,0.112,5.927,0.000
0.520,0.107,5.558,0.000
0.546,0.104,5.241,0.000
0.572,0.100,4.967,0.000
0.598,0.097,4.729,0.000
0.624,0.094,4.525,0.000
0.650,0.092,4.346,0.000
0.676,0.090,4.187,0.000
0.702,0.087,4.042,0.000
0.728,0.086,3.913,0.000
0.754,0.084,3.795,0.000
0.780,0.083,3.685,0.000
0.805,0.082,3.580,0.000
0.832,0.081,3.481,0.000
0.857,0.081,3.384,0.000
0.883,0.080,3.287,0.000
0.909,0.080,3.191,0.000
0.935,0.080,3.092,0.000
0.961,0.080,2.993,0.000
0.987,0.080,2.887,0.000
