# WindSpeed_m/s,Power_Watts,ThrustCoeff_Ct,RotorSpeed_rev/min
0.100,0.035,0.752,29.709
0.253,0.562,0.752,75.054
0.405,2.322,0.752,120.399
0.558,6.058,0.752,165.745
0.711,12.514,0.752,211.090
0.863,22.435,0.752,256.435
1.016,36.565,0.752,301.780
1.168,55.648,0.752,347.126
1.321,80.429,0.752,392.471
1.474,111.652,0.752,437.816
1.626,150.061,0.752,483.161
1.779,196.401,0.752,528.507
1.932,251.415,0.752,573.852
2.084,315.849,0.752,619.197
2.237,390.445,0.752,664.542
2.389,475.950,0.752,709.887
2.542,573.106,0.752,755.233
2.695,682.658,0.752,800.578
2.847,805.351,0.752,845.923
3.000,941.929,0.752,891.268
