AeroDyn airfoil file Created with QBlade v0.963 64bit on 01.11.2016 at 10:48:14 Compatible with AeroDyn v13.0.
Polar "T1_Re0.042_M0.00_N4.0 360 M" on Foil "T1_Re0.042_M0.00_N4.0" :: generated by QBlade
modified the QBlade format to be compatible with openFAST v7
1              Number of airfoil tables in this file
0.042          Table ID parameter
0.0            Control setting
48.00          Stall angle (deg)
-2.90          Angle of attack for zero Cn for linear Cn curve (deg)
6.73610        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3778        Cn at stall value for positive angle of attack for linear Cn curve
-0.3261        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0267         Minimum CD value
   -180.00   -0.0852    0.0060
   -179.00    0.0043    0.0065
   -178.00    0.0928    0.0081
   -177.00    0.1758    0.0106
   -176.00    0.2446    0.0142
   -175.00    0.2900    0.0188
   -174.00    0.3107    0.0244
   -173.00    0.3144    0.0310
   -172.00    0.3116    0.0386
   -171.00    0.3095    0.0471
   -170.00    0.3111    0.0567
   -169.00    0.3168    0.0671
   -168.00    0.3260    0.0785
   -167.00    0.3377    0.0909
   -166.00    0.3512    0.1041
   -165.00    0.3658    0.1182
   -164.00    0.3810    0.1332
   -163.00    0.3964    0.1490
   -162.00    0.4117    0.1657
   -161.00    0.4267    0.1832
   -160.00    0.4413    0.2014
   -159.00    0.4553    0.2204
   -158.00    0.4686    0.2401
   -157.00    0.4811    0.2606
   -156.00    0.4929    0.2817
   -155.00    0.5038    0.3035
   -154.00    0.5139    0.3259
   -153.00    0.5231    0.3489
   -152.00    0.5314    0.3725
   -151.00    0.5387    0.3967
   -150.00    0.5452    0.4213
   -149.00    0.5507    0.4464
   -148.00    0.5553    0.4720
   -147.00    0.5590    0.4980
   -146.00    0.5618    0.5244
   -145.00    0.5638    0.5511
   -144.00    0.5648    0.5782
   -143.00    0.5651    0.6055
   -142.00    0.5644    0.6331
   -141.00    0.5630    0.6609
   -140.00    0.5608    0.6889
   -139.00    0.5577    0.7171
   -138.00    0.5540    0.7453
   -137.00    0.5495    0.7737
   -136.00    0.5443    0.8021
   -135.00    0.5384    0.8305
   -134.00    0.5318    0.8589
   -133.00    0.5247    0.8873
   -132.00    0.5169    0.9156
   -131.00    0.5085    0.9437
   -130.00    0.4996    0.9717
   -129.00    0.4901    0.9995
   -128.00    0.4802    1.0271
   -127.00    0.4697    1.0544
   -126.00    0.4588    1.0814
   -125.00    0.4475    1.1081
