AeroDyn airfoil file Created with QBlade v0.963 64bit on 01.11.2016 at 10:48:14 Compatible with AeroDyn v13.0.
Polar "T1_Re0.330_M0.00_N4.0 360 M" on Foil "T1_Re0.330_M0.00_N4.0" :: generated by QBlade
modified the QBlade format to be compatible with openFAST v7
1              Number of airfoil tables in this file
0.330          Table ID parameter
0.0            Control setting
15.50          Stall angle (deg)
-4.20          Angle of attack for zero Cn for linear Cn curve (deg)
6.18091        Cn slope for zero lift for linear Cn curve (1/rad)
1.1182         Cn at stall value for positive angle of attack for linear Cn curve
-0.6070        Cn at stall value for negative angle of attack for linear Cn curve
2.00           Angle of attack for minimum CD (deg)
0.0103         Minimum CD value
   -180.00   -0.1235    0.0060
   -179.00   -0.0472    0.0065
   -178.00    0.0160    0.0081
   -177.00    0.0641    0.0106
   -176.00    0.0991    0.0142
   -175.00    0.1252    0.0188
   -174.00    0.1464    0.0244
   -173.00    0.1654    0.0310
   -172.00    0.1837    0.0386
   -171.00    0.2020    0.0471
   -170.00    0.2204    0.0567
   -169.00    0.2390    0.0671
   -168.00    0.2576    0.0785
   -167.00    0.2760    0.0909
   -166.00    0.2942    0.1041
   -165.00    0.3119    0.1182
   -164.00    0.3291    0.1332
   -163.00    0.3456    0.1490
   -162.00    0.3615    0.1657
   -161.00    0.3765    0.1832
   -160.00    0.3907    0.2014
   -159.00    0.4040    0.2204
   -158.00    0.4165    0.2401
   -157.00    0.4280    0.2606
   -156.00    0.4385    0.2817
   -155.00    0.4481    0.3035
   -154.00    0.4567    0.3259
   -153.00    0.4644    0.3489
   -152.00    0.4711    0.3725
   -151.00    0.4769    0.3967
   -150.00    0.4817    0.4213
   -149.00    0.4855    0.4464
   -148.00    0.4885    0.4720
   -147.00    0.4906    0.4980
   -146.00    0.4918    0.5244
   -145.00    0.4921    0.5511
   -144.00    0.4916    0.5782
   -143.00    0.4903    0.6055
   -142.00    0.4883    0.6331
   -141.00    0.4854    0.6609
   -140.00    0.4819    0.6889
   -139.00    0.4776    0.7171
   -138.00    0.4727    0.7453
   -137.00    0.4672    0.7737
   -136.00    0.4610    0.8021
   -135.00    0.4543    0.8305
   -134.00    0.4471    0.8589
   -133.00    0.4393    0.8873
   -132.00    0.4310    0.9156
   -131.00    0.4223    0.9437
   -130.00    0.4132    0.9717
   -129.00    0.4037    0.9995
   -128.00    0.3939    1.0271
   -127.00    0.3837    1.0544
   -126.00    0.3732    1.0814
   -125.00    0.3625    1.1081
   -124.00    0.3515    1.1345
   -123.00    0.3403    1.1605
   -122.00    0.3289    1.1860
   -121.00    0.3173    1.2112
   -120.00    0.3056    1.2358
   -119.00    0.2937    1.2599
   -118.00    0.2818    1.2836
   -117.00    0.2697    1.3066
   -116.00    0.2576    1.3291
   -115.00    0.2455    1.3509
   -114.00    0.2309    1.3721
   -113.00    0.2187    1.3927
   -112.00    0.2065    1.4125
   -111.00    0.1943    1.4317
   -110.00    0.1821    1.4501
